player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played
43266,2015,St Kilda Saints,FALSE,7,44,18,39,83,0,1,10,18,4,17,10,11,2,6,0,34,52,4,1,7,0,2,1,331,394,6.3,2.6,5.6,11.9,0,0.1,1.4,2.6,0.6,2.4,1.4,1.6,0.3,0.9,4.9,7.4,0.6,0.1,1,0,0.3,0.1,47.3,56.3
43266,2016,St Kilda Saints,FALSE,16,160,57,124,284,7,6,14,50,29,47,34,34,12,10,1,103,187,6,10,14,9,13,48,1143,1186,10,3.6,7.8,17.8,0.4,0.4,0.9,3.1,1.8,2.9,2.1,2.1,0.8,0.6,6.4,11.7,0.4,0.6,0.9,0.6,0.8,3,71.4,74.1
43266,2017,St Kilda Saints,FALSE,18,178,81,188,366,11,4,2,51,27,62,26,42,12,13,0,107,267,6,12,16,10,5,70,1402,1406,9.9,4.5,10.4,20.3,0.6,0.2,0.1,2.8,1.5,3.4,1.4,2.3,0.7,0.7,5.9,14.8,0.3,0.7,0.9,0.6,0.3,3.9,77.9,78.1
43266,2018,St Kilda Saints,FALSE,12,129,47,129,258,4,7,10,43,14,38,32,35,18,17,1,107,161,4,3,28,7,6,31,966,944,10.8,3.9,10.8,21.5,0.3,0.6,0.8,3.6,1.2,3.2,2.7,2.9,1.5,1.4,8.9,13.4,0.3,0.3,2.3,0.6,0.5,2.6,80.5,78.7
43266,2019,St Kilda Saints,FALSE,19,154,70,154,308,6,5,9,72,19,51,40,44,17,20,0,120,196,8,9,26,12,13,41,1275,1377,8.1,3.7,8.1,16.2,0.3,0.3,0.5,3.8,1,2.7,2.1,2.3,0.9,1.1,6.3,10.3,0.4,0.5,1.4,0.6,0.7,2.2,67.1,72.5
43266,2020,Fremantle Dockers,FALSE,7,75,40,59,134,0,0,0,19,13,18,12,23,3,8,2,34,99,0,1,5,1,1,0,518,581,10.7,5.7,8.4,19.1,0,0,0,2.7,1.9,2.6,1.7,3.3,0.4,1.1,4.9,14.1,0,0.1,0.7,0.1,0.1,0,74,83
43266,2021,Fremantle Dockers,FALSE,18,184,67,138,322,2,0,10,45,34,57,29,51,12,18,0,107,215,2,4,26,7,5,12,1189,1419,10.2,3.7,7.7,17.9,0.1,0,0.6,2.5,1.9,3.2,1.6,2.8,0.7,1,5.9,11.9,0.1,0.2,1.4,0.4,0.3,0.7,66.1,78.8
43266,2022,Fremantle Dockers,FALSE,18,254,101,129,383,6,6,0,50,40,73,34,63,18,16,3,110,274,3,4,26,2,5,42,1535,1454,14.1,5.6,7.2,21.3,0.3,0.3,0,2.8,2.2,4.1,1.9,3.5,1,0.9,6.1,15.2,0.2,0.2,1.4,0.1,0.3,2.3,85.3,80.8
43266,2022,Fremantle Dockers,TRUE,2,33,14,18,51,0,0,0,4,3,11,2,9,0,1,0,14,36,0,0,5,1,1,0,190,155,16.5,7,9,25.5,0,0,0,2,1.5,5.5,1,4.5,0,0.5,7,18,0,0,2.5,0.5,0.5,0,95,77.5
45479,1998,Hawthorn Hawks,FALSE,2,8,2,1,9,NULL,NULL,NULL,1,4,1,1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,32,NULL,4,1,1,4.5,NULL,NULL,NULL,1,2,1,1,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,NULL
