id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
10998,Carlton Blues,24,1994-09-03,1994,A,Essendon Bombers,2.2 3.5 8.7 9.8,62,2.3 4.4 8.8 12.8,80,L,-18,Melbourne Cricket Ground,61231,9,8,12,8
10999,Carlton Blues,QF,1994-09-11,1994,A,Melbourne Demons,3.1 9.7 11.8 14.12,96,4.4 9.5 14.11 18.15,123,L,-27,Melbourne Cricket Ground,56111,14,12,18,15
11001,Carlton Blues,1,1995-04-02,1995,A,Collingwood Magpies,4.2 7.6 11.8 14.11,95,3.1 5.6 8.9 9.12,66,W,29,Melbourne Cricket Ground,87119,14,11,9,12
11002,Carlton Blues,2,1995-04-08,1995,H,Fitzroy Lions,2.5 10.11 14.12 18.17,125,4.1 4.2 6.8 8.8,56,W,69,Princes Park,16586,18,17,8,8
11003,Carlton Blues,3,1995-04-15,1995,H,Western Bulldogs,5.6 10.12 15.17 23.20,158,0.1 5.5 7.9 8.12,60,W,98,Melbourne Cricket Ground,41576,23,20,8,12
11005,Carlton Blues,5,1995-04-30,1995,A,North Melbourne Kangaroos,1.7 4.11 9.12 12.12,84,2.1 3.4 3.8 7.8,50,W,34,Melbourne Cricket Ground,42729,12,12,7,8
11006,Carlton Blues,6,1995-05-06,1995,H,West Coast Eagles,5.2 7.5 12.8 13.12,90,0.2 6.4 7.6 10.7,67,W,23,Princes Park,24527,13,12,10,7
11008,Carlton Blues,8,1995-05-19,1995,A,Sydney Swans,2.3 3.4 4.10 8.12,60,4.1 13.1 18.3 21.6,132,L,-72,Sydney Cricket Ground,23744,8,12,21,6
11009,Carlton Blues,9,1995-05-27,1995,A,St Kilda Saints,0.3 0.5 1.5 3.6,24,4.3 6.8 9.11 11.14,80,L,-56,Waverley Park,17902,3,6,11,14
11010,Carlton Blues,10,1995-06-04,1995,H,Hawthorn Hawks,9.3 16.6 20.13 26.16,172,2.1 5.4 9.6 10.10,70,W,102,Princes Park,29520,26,16,10,10
11012,Carlton Blues,12,1995-06-24,1995,H,Geelong Cats,5.4 9.9 12.14 16.16,112,5.3 10.7 10.12 15.19,109,W,3,Princes Park,30843,16,16,15,19
11013,Carlton Blues,13,1995-07-02,1995,A,Fremantle Dockers,3.3 8.7 10.13 15.16,106,2.0 4.2 6.5 7.7,49,W,57,Domain Stadium,25465,15,16,7,7
11014,Carlton Blues,14,1995-07-09,1995,A,Richmond Tigers,5.2 7.8 12.11 17.13,115,3.4 8.7 12.9 12.13,85,W,30,Melbourne Cricket Ground,84745,17,13,12,13
